customer_id,full_name,age,gender,phone_number,national_id,address,employment_status,monthly_income,credit_score,is_existing_customer
CUST-001A4B63,Linda Rodriguez,40,Female,555-753-2580,XXX-XX-9123,"Los Angeles, CA",Self-employed,5500,620,False
CUST-001F6646,Ashley Davis,22,Female,555-016-7328,XXX-XX-4567,"New York, NY",Salaried,4500,620,False
CUST-002BF840,Patricia Wilson,68,Female,555-159-7531,XXX-XX-8024,"Orlando, FL",Retired,3500,620,False
CUST-00430667,George Thompson,52,Male,555-417-9265,XXX-XX-3692,"San Diego, CA",Unemployed,0,580,False
CUST-00517C3F,Maria Garcia,40,Female,555-951-7234,XXX-XX-2345,"New York, NY",Salaried,11000,730,False
CUST-00985066,Kevin O'Connell,40,Male,555-852-9371,XXX-XX-1234,"New York, NY",Self-employed,12000,750,False
CUST-00A5CC4E,Michael Brown,48,Male,555-246-8013,XXX-XX-3456,"Miami, FL",Unemployed,0,580,False
CUST-00BCD42E,Anthony King,38,Male,555-264-8029,XXX-XX-8901,"Dallas, TX",Salaried,12000,820,True
CUST-00C85756,Brenda Smith,48,Female,555-632-9874,XXX-XX-3579,"Dallas, TX",Salaried,7500,690,True
CUST-00CD13A1,Kevin O'Connell,30,Male,555-159-3570,XXX-XX-2468,"San Francisco, CA",Self-employed,12000,800,False
CUST-00D3BA78,Maria Garcia,40,Female,555-941-3759,XXX-XX-5791,"San Antonio, TX",Salaried,7000,750,True
CUST-00E114AF,Kevin Davis,40,Male,555-086-4291,XXX-XX-8901,"Dallas, TX",Unemployed,0,580,False
CUST-00F525DC,Anthony Brown,31,Male,555-630-7891,XXX-XX-4567,"Chicago, IL",Self-employed,12000,750,False
CUST-00FA32D2,Kevin Patel,40,Male,555-444-5555,XXX-XX-8901,"San Francisco, CA",Self-employed,12000,800,True
CUST-0103A06F,David Wilson,25,Male,555-624-9358,XXX-XX-1357,"Los Angeles, CA",Salaried,8000,800,True
CUST-01155B49,Linda Rodriguez,40,Female,555-714-2896,XXX-XX-6789,"Los Angeles, CA",Self-employed,5500,620,False
CUST-0115F163,Kevin Lee,38,Male,555-159-3574,XXX-XX-8026,"New York, NY",Salaried,12000,820,True
CUST-0119ADD3,Maria Garcia,40,Female,555-918-2746,XXX-XX-4567,"San Francisco, CA",Salaried,10000,750,True
CUST-012530CF,Susan Davis,40,Female,555-963-2581,XXX-XX-6802,"San Francisco, CA",Salaried,10000,730,True
CUST-012EC66F,George Thompson,71,Male,555-852-9630,XXX-XX-4567,"Orlando, FL",Retired,3500,600,False
CUST-01348EA8,Patricia Wilson,70,Female,555-741-9632,XXX-XX-2468,"Orlando, FL",Retired,3500,580,False
CUST-013E379C,Isabella Garcia,22,Female,555-963-2587,XXX-XX-8024,"Denver, CO",Salaried,4000,650,False
CUST-014162FE,Jack Thompson,50,Male,555-012-3456,XXX-XX-1234,"Phoenix, AZ",Self-employed,12000,850,False
CUST-0152538F,Kevin Harris,38,Male,555-159-7531,XXX-XX-4680,"New York, NY",Salaried,12000,700,False
CUST-0186696E,Ashley Rodriguez,22,Female,555-753-9012,XXX-XX-1357,"Los Angeles, CA",Salaried,4800,700,False
CUST-019A2039,Brian Thompson,52,Male,555-111-2222,XXX-XX-8901,"Dallas, TX",Salaried,10000,760,True
CUST-01A93614,Ashley Green,25,Female,555-947-2581,XXX-XX-4680,"New York, NY",Salaried,6000,750,False
CUST-01B4482C,Linda Johnson,32,Female,555-963-7410,XXX-XX-8024,"New York, NY",Salaried,10000,800,False
CUST-01BCD7CB,Maria Garcia,40,Female,555-016-7283,XXX-XX-8901,"New York, NY",Salaried,10000,700,True
CUST-01D2B8EB,Patricia Wilson,68,Female,555-951-7485,XXX-XX-4567,"San Antonio, TX",Retired,3500,580,False
CUST-01D3F213,George Thompson,55,Male,555-147-2583,XXX-XX-8024,"Dallas, TX",Unemployed,2500,550,False
CUST-01E245DF,Kevin Garcia,31,Male,555-890-1234,XXX-XX-8901,"Chicago, IL",Self-employed,12000,800,False
CUST-01ECAC3D,Kevin Lee,40,Male,555-147-2580,XXX-XX-8901,"New York, NY",Salaried,12000,820,False
